Language,Algorithm,Matrix Size,Time,L1 DCM,L2 DCM
cpp,"[3, 128]",4096,51.6178,9648072640,29533304154
cpp,"[3, 128]",4096,50.665,9645752939,29544742878
cpp,"[3, 128]",4096,50.6309,9644804373,29531642655
cpp,"[3, 128]",6144,174.03,32547237997,102284794963
cpp,"[3, 128]",6144,174.346,32547854892,102302242188
cpp,"[3, 128]",6144,175.758,32542746470,101156956018
cpp,"[3, 128]",8192,409.19,77130876012,243378701574
cpp,"[3, 128]",8192,392.611,77125278678,244264570428
cpp,"[3, 128]",8192,414.579,77196953697,243352143838
cpp,"[3, 128]",10240,837.011,150690881943,474850287838
cpp,"[3, 128]",10240,885.924,150897898054,466412796405
cpp,"[3, 128]",10240,884.559,150890768837,467374368301
cpp,"[3, 256]",4096,50.7648,9067923873,22398952460
cpp,"[3, 256]",4096,50.7391,9066075467,22590615808
cpp,"[3, 256]",4096,50.8125,9066072847,22593831073
cpp,"[3, 256]",6144,172.575,30608217776,75699632754
cpp,"[3, 256]",6144,163.253,30600723865,75049945110
cpp,"[3, 256]",6144,160.698,30598278464,75017782775
cpp,"[3, 256]",8192,391.631,72540204608,181772266552
cpp,"[3, 256]",8192,386.99,72529958938,178886974628
cpp,"[3, 256]",8192,388.323,72524553417,181342951537
cpp,"[3, 256]",10240,784.611,141680070852,355072551941
cpp,"[3, 256]",10240,771.485,141675001181,357109668962
cpp,"[3, 256]",10240,811.654,141687233987,350971006315
cpp,"[3, 512]",4096,50.0403,8773956150,19802012846
cpp,"[3, 512]",4096,52.6905,8775574693,19524744613
cpp,"[3, 512]",4096,51.3118,8777015701,18748120857
cpp,"[3, 512]",6144,176.207,29656718059,66801966324
cpp,"[3, 512]",6144,180.046,29669597215,66864405672
cpp,"[3, 512]",6144,176.158,29667495185,66927235273
cpp,"[3, 512]",8192,431.749,70219626768,150117677382
cpp,"[3, 512]",8192,427.876,70198431369,156050433259
cpp,"[3, 512]",8192,421.865,70191095086,156993258006
cpp,"[3, 512]",10240,725.78,137064669626,293970436365
cpp,"[3, 512]",10240,815.003,137136420844,297520454939
cpp,"[3, 512]",10240,826.488,137153634818,293804449066
